trace,size_kb,block,assoc,policy,hit_rate,miss_rate,cpi,unused_kb,unused_pct,cost,page_faults,compulsory,conflict
A-10_new_1.5_a.pdf.trc,64,16,4,RND,97.3407,2.6593,4.35,0.89,1.22,5.08,0,4046,5960
A-10_new_1.5_a.pdf.trc,64,64,4,RR,98.8113,1.1887,4.70,0.19,0.29,4.63,0,1021,3186
A-10_new_1.5_a.pdf.trc,64,64,4,RND,98.6847,1.3153,4.81,0.19,0.29,4.63,0,1021,3634
A-10_new_1.5_a.pdf.trc,256,8,4,RR,96.4566,3.5434,4.30,179.73,56.88,22.12,0,14131,475
A-10_new_1.5_a.pdf.trc,256,8,4,RND,96.4525,3.5475,4.30,179.73,56.88,22.12,0,14131,492
A-10_new_1.5_a.pdf.trc,256,16,4,RR,97.7075,2.2925,4.27,142.77,49.92,20.02,0,8205,421
A-10_new_1.5_a.pdf.trc,256,16,4,RND,97.7008,2.2992,4.27,142.77,49.92,20.02,0,8205,446
A-10_new_1.5_a.pdf.trc,256,64,4,RR,99.0308,0.9692,4.51,74.24,28.17,18.45,0,2942,488
A-10_new_1.5_a.pdf.trc,256,64,4,RND,99.0155,0.9845,4.53,74.24,28.17,18.45,0,2942,542
A-10_new_1.5_a.pdf.trc,1024,8,4,RR,96.4631,3.5369,4.30,1094.97,88.88,86.24,0,14579,0
A-10_new_1.5_a.pdf.trc,1024,8,4,RND,96.4631,3.5369,4.30,1094.97,88.88,86.24,0,14579,0
A-10_new_1.5_a.pdf.trc,1024,16,4,RR,97.7133,2.2867,4.27,979.91,86.87,78.96,0,8604,0
A-10_new_1.5_a.pdf.trc,1024,16,4,RND,97.7133,2.2867,4.27,979.91,86.87,78.96,0,8604,0
A-10_new_1.5_a.pdf.trc,1024,64,4,RR,99.0398,0.9602,4.51,832.42,79.28,73.50,0,3395,3
A-10_new_1.5_a.pdf.trc,1024,64,4,RND,99.0398,0.9602,4.51,832.42,79.28,73.50,0,3395,3
Corruption2.trc,8,8,4,RR,93.5329,6.4671,4.66,0.00,0.00,0.74,0,1024,30493
Corruption2.trc,8,8,4,RND,93.5179,6.4821,4.66,0.00,0.00,0.74,0,1024,30566
Corruption2.trc,8,16,4,RR,95.0712,4.9288,4.87,0.00,0.00,0.65,0,512,21354
Corruption2.trc,8,16,4,RND,95.0757,4.9243,4.86,0.00,0.00,0.65,0,512,21334
Corruption2.trc,8,64,4,RR,97.2830,2.7170,6.03,0.00,0.00,0.58,0,128,11154
Corruption2.trc,8,64,4,RND,97.2091,2.7909,6.10,0.00,0.00,0.58,0,128,11461
Corruption2.trc,64,8,4,RR,96.6383,3.3617,4.31,1.69,2.09,5.67,0,8021,8362
Corruption2.trc,64,8,4,RND,96.4844,3.5156,4.32,1.69,2.09,5.67,0,8021,9112
Corruption2.trc,64,16,4,RR,97.5564,2.4436,4.32,0.00,0.00,5.08,0,4096,6745
Corruption2.trc,64,16,4,RND,97.4286,2.5714,4.35,0.00,0.00,5.08,0,4096,7312
Corruption2.trc,64,64,4,RR,98.9808,1.0192,4.57,0.00,0.00,4.63,0,1024,3208
Corruption2.trc,64,64,4,RND,98.8927,1.1073,4.65,0.00,0.00,4.63,0,1024,3574
Corruption2.trc,256,8,4,RR,96.7852,3.2148,4.29,169.31,53.58,22.12,0,15211,456
Corruption2.trc,256,8,4,RND,96.7850,3.2150,4.29,169.31,53.58,22.12,0,15211,457
Corruption2.trc,256,16,4,RR,97.7117,2.2883,4.29,118.81,41.54,20.02,0,9578,574
Corruption2.trc,256,16,4,RND,97.7069,2.2931,4.29,118.81,41.54,20.02,0,9578,595
Corruption2.trc,256,64,4,RR,99.1326,0.8674,4.44,66.26,25.15,18.45,0,3066,536
Corruption2.trc,256,64,4,RND,99.1268,0.8732,4.44,66.26,25.15,18.45,0,3066,560
Corruption2.trc,1024,8,4,RR,96.7893,3.2107,4.29,1084.93,88.06,86.24,0,15647,0
Corruption2.trc,1024,8,4,RND,96.7893,3.2107,4.29,1084.93,88.06,86.24,0,15647,0
Corruption2.trc,1024,16,4,RR,97.7182,2.2818,4.29,953.80,84.56,78.96,0,10121,2
Corruption2.trc,1024,16,4,RND,97.7184,2.2816,4.29,953.80,84.56,78.96,0,10121,1
Corruption2.trc,1024,64,4,RR,99.1427,0.8573,4.43,822.04,78.29,73.50,0,3557,3
Corruption2.trc,1024,64,4,RND,99.1429,0.8571,4.43,822.04,78.29,73.50,0,3557,2
